Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1764620492518,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,3.125,3.125,8.823529243469238,3.125,6.060606002807617,0,6.25,9.375,17.647058486938477,12.90322494506836,9.375,9.090909004211426,6.25,3.0303030014038086,15.625,0,18.18181800842285,5.882352828979492,5.882352828979492,3.125,0,18991.805114746094,16798.70233154297,0,33410273280,0,1999937536,0
199,1764620492518,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,3.125,3.125,8.823529243469238,3.125,6.060606002807617,0,6.25,9.375,17.647058486938477,12.90322494506836,9.375,9.090909004211426,6.25,3.0303030014038086,15.625,0,18.18181800842285,5.882352828979492,5.882352828979492,3.125,0,18991.805114746094,16798.70233154297,0,33410273280,0,1999937536,0
199,1764620492718,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,36.842105865478516,28.571430206298828,36.842105865478516,14.285715103149414,60.000003814697266,15.000000953674316,57.894737243652344,25,30.000001907348633,33.333335876464844,33.333335876464844,30.000001907348633,25,26.3157901763916,35,42.85714340209961,73.68421173095703,15.789472579956055,47.36842346191406,5,0,19011.841369628906,16818.435424804688,0,33410273280,0,2170683392,0
199,1764620492918,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,47.36842346191406,45,21.052631378173828,40,63.15789031982422,10,47.619049072265625,52.6315803527832,31.81818199157715,21.052631378173828,36.842105865478516,40,30.000001907348633,42.105262756347656,57.894737243652344,20,50,30.000001907348633,20,38.095237731933594,0,19033.870483398438,16840.152770996094,0,33410273280,0,2248597504,0
199,1764620493118,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,23.809524536132813,61.904762268066406,31.57894515991211,55,36.842105865478516,21.052631378173828,36.842105865478516,50,26.3157901763916,28.571430206298828,30.000001907348633,20,15.789472579956055,55,47.36842346191406,25,65,30.000001907348633,42.105262756347656,20,0,19054.91326904297,16860.88006591797,0,33410273280,0,2342703104,0
199,1764620493318,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,45,73.68421173095703,50,60.000003814697266,50,75,60.000003814697266,80.95238494873047,75,78.94737243652344,75,68.42105102539063,60.000003814697266,73.68421173095703,31.57894515991211,100,44.4444465637207,89.47368621826172,35,70,0,19084.778747558594,16890.38525390625,0,33410273280,0,2574512128,0
199,1764620493518,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,80.95238494873047,0,10,26.3157901763916,23.809524536132813,21.052631378173828,15.000000953674316,0,10,19.047618865966797,10,5,25,38.095237731933594,19.047618865966797,45,20,71.42857360839844,15.000000953674316,10,0,19100.699157714844,16905.993591308594,0,33410273280,0,2549399552,0
199,1764620493719,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,5.263157844543457,5.263157844543457,70,0,15.000000953674316,28.571430206298828,15.000000953674316,0,15.789472579956055,25,10.526315689086914,5.263157844543457,5,36.842105865478516,30.000001907348633,42.105262756347656,90,0,26.3157901763916,27.272727966308594,0,19116.926330566406,16921.915466308594,0,33410273280,0,2588303360,0
199,1764620493919,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,40,10,75,0,5.263157844543457,65,78.94737243652344,0,30.000001907348633,31.57894515991211,10,33.333335876464844,36.842105865478516,40,5,73.68421173095703,25,78.94737243652344,76.19047546386719,0,0,19139.397338867188,16944.041381835938,0,33410273280,0,2668474368,0
199,1764620494119,820,799,800,800,3738,800,3362,800,3543,3582,3603,3600,800,800,4704,2977,1906,800,2924,2090,20,5.263157844543457,20,5,0,60.000003814697266,38.095237731933594,0,20,31.81818199157715,10,15.000000953674316,38.095237731933594,0,15.000000953674316,77.2727279663086,4.761904716491699,100,47.36842346191406,0,0,19155.85723876953,16960.19091796875,0,33410273280,0,2722619392,0
